lottery_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33
3001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
3002,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3003,1,3,1,1,3,3,1,3,1,1,2,2,2,3,3,3,3,3,1,1,1,3,1,3,3,1,3,1,3,3,3,1,3,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3004,1,4,4,1,4,1,1,4,2,1,3,3,1,4,4,4,4,4,2,2,2,4,1,4,1,2,4,1,4,4,4,1,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3005,2,5,5,1,1,1,1,5,3,1,4,4,1,5,1,5,1,5,3,3,3,5,2,5,1,3,5,2,5,1,1,2,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
3006,1,6,1,1,6,1,2,6,4,1,5,5,2,6,1,6,1,6,4,4,1,6,3,6,2,1,1,3,6,1,1,3,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
3007,1,7,1,2,7,2,3,7,1,1,6,6,3,7,2,7,2,7,1,5,1,7,1,7,3,1,1,4,7,2,2,4,7,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3008,1,8,2,3,1,3,4,1,1,2,7,7,4,1,3,8,1,8,1,6,1,8,1,8,4,1,2,5,8,3,3,5,8,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
3009,2,9,1,1,1,4,5,1,1,3,8,8,5,1,4,9,1,1,2,1,2,1,1,9,5,2,3,6,9,1,4,6,9,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3010,1,1,4,5,1,5,6,1,1,4,9,9,1,2,5,10,1,1,3,1,3,1,2,1,6,3,4,7,10,1,5,7,10,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3011,1,1,5,1,1,1,1,1,2,5,1,1,1,3,6,11,1,2,4,2,4,2,3,1,7,4,5,8,11,1,6,1,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3012,2,1,6,1,1,7,8,2,3,6,1,1,2,4,7,1,1,3,5,3,5,3,4,2,8,5,1,9,12,1,7,1,12,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
3013,3,1,7,2,2,8,9,1,4,7,2,1,1,5,8,1,1,4,6,4,1,4,1,3,9,6,1,10,13,1,8,1,13,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3014,4,1,1,3,1,9,1,1,5,8,3,2,1,6,9,2,1,5,7,5,1,5,1,4,10,7,2,11,14,2,1,1,14,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
3015,5,3,1,1,1,10,1,1,6,9,1,3,2,7,10,3,2,6,1,6,1,6,2,5,1,1,3,12,15,3,1,1,15,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
3016,6,4,2,1,2,11,2,2,7,1,1,4,3,8,11,4,1,7,1,7,2,7,3,6,1,1,4,1,16,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
3017,7,5,1,2,1,12,3,1,8,11,1,5,4,9,12,5,1,1,2,8,3,8,1,7,1,2,5,1,17,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
3018,8,6,4,3,1,13,4,1,1,12,2,6,5,10,13,1,2,1,1,1,4,9,1,8,1,3,6,1,18,2,1,3,2,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3019,9,7,5,1,1,14,5,1,10,13,3,1,1,11,14,1,3,2,1,1,5,10,2,9,1,4,7,1,19,3,2,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
3020,10,8,6,1,2,15,1,1,11,1,4,1,1,12,1,1,4,3,2,2,6,11,3,10,1,1,1,2,20,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
3021,11,9,7,2,3,16,1,2,12,1,5,2,2,1,1,2,5,1,3,3,7,12,4,11,1,1,1,3,21,1,4,1,2,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3022,12,1,8,3,4,17,1,3,13,2,1,1,3,1,1,3,6,1,4,4,8,13,5,12,1,1,2,4,22,1,5,1,3,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
3023,1,1,9,1,1,18,1,4,14,1,1,1,4,1,2,4,7,2,5,1,9,1,6,13,2,1,3,5,23,2,1,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3024,1,1,10,5,6,19,1,5,15,1,2,2,5,2,1,5,1,3,6,1,10,1,7,14,3,1,4,6,24,1,1,2,5,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3025,1,1,11,6,1,20,1,6,16,2,1,3,1,1,1,6,1,4,7,2,11,1,8,15,4,2,1,7,25,1,2,3,6,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3026,1,1,12,7,1,21,2,1,17,3,1,4,1,1,1,7,2,5,8,3,12,2,9,16,5,1,1,8,1,2,1,4,7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
